Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-05-03,1030,Sing Sing,3 114.10 SMUGGLING 180.10 FACIL VISITING 113.23 CONTRABAND 3,3.0,189,,,,,,,
2022-05-03,1220,Sullivan,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,180,,,,,,,
2022-05-03,1215,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
2022-05-03,1945,Upstate,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-03,1215,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15,,,,,,,
2022-05-03,1635,Washington,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-05-03,1635,Washington,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-05-03,830,Wende,3 113.10 WEAPON 105.13 GANGS 114.10 SMUGGLING 8,7.0,210,,,,,,,
2022-05-03,839,Woodbourne,3 100.10 ASSAULT ON I/I 100.13 FIGHTING 104.13 CREATE DISTURB 4,3.0,30,,,,,,,
2022-05-03,1330,Wyoming,3 114.10 SMUGGLING 180.11 FACIL CORRESPOND 113.23 CONTRABAND 5,5.0,75,,,,,,,
2022-05-04,825,Albion,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,270,,,,,,,
2022-05-04,1020,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,270,,,,,,,
2022-05-04,1545,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 4,4.0,120,,,,,,,
2022-05-04,820,Attica,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,89,,,,,,,
2022-05-04,905,Attica,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 3,3.0,38,,,,,,,
2022-05-04,1327,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,4.0,365,,,,,,,
2022-05-04,1415,Attica,3 113.10 WEAPON 1,1.0,200,,,,,,,
2022-05-04,845,Attica,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-04,1040,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,45,,,,,,,
2022-05-04,1143,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60,,,,,,,
2022-05-04,820,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,6.0,365,,,,,,,
2022-05-04,1030,Attica,3 113.10 WEAPON 1,1.0,364,,,,,,,
2022-05-04,1020,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 4,4.0,120,,,,,,,
2022-05-04,1124,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,6.0,60,,,,,,,
2022-05-04,1055,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,120,,,,,,,
2022-05-04,1505,Attica,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,99,,,,,,,
2022-05-04,1455,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 7,7.0,262,,,,,,,
2022-05-04,827,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 5,5.0,212,,,,,,,
2022-05-04,1405,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,270,,,,,,,
