Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-12-08,900,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,90
2022-12-08,1800,Fishkill,3 113.10 WEAPON 114.10 SMUGGLING 113.11 ALTERED ITEM 4,3.0,185
2022-12-08,1320,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 6,5.0,180
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - December 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 2, 2023",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-12-08,1230,Five Points,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,45
2022-12-08,510,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,3.0,60
2022-12-08,1230,Five Points,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,45
2022-12-08,2030,Franklin,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,186
2022-12-08,1630,Gouverneur,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 6,6.0,200
2022-12-08,1255,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,90
2022-12-08,1350,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 8,8.0,365
2022-12-08,727,Greene,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,210
2022-12-08,1011,Greene,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.11 VIOLENT CONDUCT 7,6.0,365
2022-12-08,1011,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 4,4.0,120
2022-12-08,1011,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,120
2022-12-08,1011,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,150
2022-12-08,1011,Greene,3 106.10 DIRECT ORDER 104.13 CREATE DISTURB 5,2.0,14
2022-12-08,1011,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 4,4.0,60
2022-12-08,1010,Greene,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.11 VIOLENT CONDUCT 11,10.0,250
2022-12-08,1010,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.11 VIOLENT CONDUCT 11,11.0,180
2022-12-08,1011,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 4,4.0,150
