time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
2200,Greene,3,2022-09-08,106.10, DIRECT ORDER ,109.15, REFUSE DBL CELLING ,107.10, INTERFERENCE ,3,3.0,60
1140,Greene,3,2022-09-08,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,104.11, VIOLENT CONDUCT ,5,5.0,60
1140,Greene,3,2022-09-08,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,104.11, VIOLENT CONDUCT ,5,5.0,41
1350,Greene,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,104.13, CREATE DISTURB ,4,3.0,30
1350,Greene,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,105.13, GANGS ,4,4.0,30
1407,Greene,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,105.13, GANGS ,4,4.0,30
1045,Groveland,3,2022-09-08,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,109.12, MOVEMENT VIO ,3,3.0,60
1121,Groveland,3,2022-09-08,114.10, SMUGGLING ,113.33, DRUG POSSES ,113.34, DRUG USE ,4,4.0,210
2315,Marcy,3,2022-09-08,113.10, WEAPON ,122.10, SMOKING ,,,2,2.0,184
1730,Mohawk,3,2022-09-08,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,120
1750,Mohawk,3,2022-09-08,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,90
936,Sing Sing,3,2022-09-08,108.10, ESCAPE ,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,6,6.0,730
1540,Upstate,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,30
1017,Upstate,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,45
1535,Upstate,3,2022-09-08,100.13, FIGHTING ,,,,,1,1.0,80
